DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
2021.08.10,10:00:00,121280,121300,120960,121000,212,149962,10,2021-08-10 10:00:00
2021.08.10,10:05:00,121000,121010,120960,120970,214,63696,10,2021-08-10 10:05:00
2021.08.10,10:10:00,120980,121050,120950,120950,172,73245,10,2021-08-10 10:10:00
2021.08.10,10:15:00,120950,120960,120900,120900,173,118617,10,2021-08-10 10:15:00
2021.08.10,10:20:00,120900,121000,120900,120920,187,77049,10,2021-08-10 10:20:00
2021.08.10,10:25:00,120920,120970,120850,120850,206,124064,10,2021-08-10 10:25:00
2021.08.10,10:30:00,120860,120900,120530,120570,233,119486,10,2021-08-10 10:30:00
2021.08.10,10:35:00,120570,120690,120510,120690,214,183420,10,2021-08-10 10:35:00
2021.08.10,10:40:00,120700,121000,120690,121000,274,148375,10,2021-08-10 10:40:00
2021.08.10,10:45:00,120990,121010,120700,120700,196,118490,10,2021-08-10 10:45:00
2021.08.10,10:50:00,120700,120870,120520,120620,192,81920,10,2021-08-10 10:50:00
2021.08.10,10:55:00,120620,120690,120570,120590,163,63306,10,2021-08-10 10:55:00
2021.08.10,11:00:00,120590,120650,120580,120590,145,49312,10,2021-08-10 11:00:00
2021.08.10,11:05:00,120600,120600,120510,120510,178,136181,10,2021-08-10 11:05:00
2021.08.10,11:10:00,120500,120530,120370,120500,251,74605,10,2021-08-10 11:10:00
2021.08.10,11:15:00,120520,120570,120440,120560,165,63178,10,2021-08-10 11:15:00
2021.08.10,11:20:00,120560,120650,120560,120600,186,118926,10,2021-08-10 11:20:00
2021.08.10,11:25:00,120610,121000,120570,121000,293,124936,10,2021-08-10 11:25:00
2021.08.10,11:30:00,121010,121110,120900,120900,195,74130,10,2021-08-10 11:30:00
2021.08.10,11:35:00,120860,120900,120600,120600,159,126232,10,2021-08-10 11:35:00
2021.08.10,11:40:00,120610,120700,120600,120620,169,166352,10,2021-08-10 11:40:00
